,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
20,18.77,19.16,18.67,,14.54,19.35,19.35,5.08,12.21,17.12,18.04,14.3,18.18,10.85,17.259999999999998,1.2400000000000002,7.5,19.79,1.34,16.73,10.32,15.85,19.93,,19.35,17.46,18.48,18.57,5.47,15.81,19.54,19.06,15.81,17.12,5.03,19.64,10.95,18.67,14.3,17.89,13.28,17.5,18.04,5.22,17.8,16.87,8.67,19.59,19.35,17.6,20.17,19.93,5.22,17.259999999999998,8.77,19.79,,,13.43,14.59,18.09,14.2,16.44,2.6,17.89,15.71,4.64,14.64,10.61,4.11,,,,,,,,,,,,,,,,,,,,,,,,18.86,,,13.38,,11.83,
28,,,,,18.23,17.259999999999998,11.0,12.7,,19.93,19.64,19.59,17.17,19.16,17.36,17.65,10.13,18.86,15.27,16.87,19.06,19.64,19.69,19.5,19.93,17.84,20.03,19.83,18.18,13.23,19.11,17.36,14.88,19.5,18.33,20.22,16.97,17.5,16.83,15.47,20.08,18.33,,,19.45,19.93,19.64,19.79,19.64,17.41,,19.59,20.03,19.5,8.18,20.08,4.3,,19.69,,18.28,19.880000000000006,20.17,13.18,20.03,16.63,,15.71,19.54,19.83,,17.84,,,,,,12.55,,,,,,,,,,,,,,,,,,,,,,
95,,16.97,4.5,,17.17,19.69,7.939999999999999,14.64,,5.51,18.91,19.64,10.81,16.73,5.08,4.35,14.16,9.59,10.9,15.61,18.23,8.09,13.62,,9.59,17.46,16.63,18.28,18.48,11.87,16.63,12.84,3.96,11.15,16.97,19.59,12.21,9.06,14.83,18.33,18.04,13.33,,,14.4,18.43,18.67,19.2,19.64,19.11,5.81,12.94,19.79,18.67,8.86,18.52,,,14.45,6.44,15.27,19.5,18.52,7.26,17.02,18.72,5.17,19.98,19.35,12.75,,,,,,,,,,,,,,,15.85,9.74,,,,,,,,,11.15,,,,,
102,,17.46,18.14,,20.17,17.89,18.82,14.25,,19.4,19.11,17.89,9.5,18.77,7.41,6.39,6.78,15.51,16.39,5.61,17.41,17.75,19.59,,18.18,17.65,18.48,17.990000000000006,18.72,18.14,17.31,18.96,,17.89,18.23,17.990000000000006,1.83,17.75,18.77,17.17,17.65,18.14,,,17.55,17.75,17.84,17.990000000000006,17.6,18.38,18.91,18.67,5.13,19.59,18.57,18.82,,2.75,17.990000000000006,18.52,18.09,19.5,17.75,,17.31,18.09,,17.75,17.75,18.38,,,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,4.35,4.98,15.37,4.16,11.24,19.2,14.2,2.3599999999999994,19.06,14.25,18.09,18.82,13.67,19.2,5.17,3.09,18.91,14.83,18.67,11.73,18.43,19.4,19.3,11.49,19.2,19.5,18.38,18.86,18.57,19.2,18.91,19.54,3.77,19.3,18.72,19.35,3.77,14.54,19.3,20.130000000000006,19.16,17.84,12.46,1.1899999999999995,18.91,12.41,18.96,19.16,18.52,18.72,19.3,19.25,18.82,19.16,19.2,19.06,12.36,3.86,11.87,12.31,20.08,18.52,19.64,2.41,11.68,20.17,13.72,18.43,19.74,19.16,,,,,1.5299999999999994,,10.85,,,,,,,,,,,,,,,,,,,,,,,19.35
458,,15.13,,,5.03,15.03,6.44,15.22,,15.37,15.37,15.32,16.15,15.85,15.76,4.98,7.21,13.23,10.61,6.34,13.18,15.37,16.05,,15.03,11.92,16.53,14.3,14.16,15.37,11.87,15.76,15.13,15.03,11.87,14.45,,15.32,14.59,15.37,15.13,15.85,15.13,,15.37,15.32,14.4,10.71,14.45,17.6,15.13,15.37,12.26,16.19,15.03,15.47,,,,13.62,17.6,15.51,15.27,15.03,17.17,16.05,15.03,16.34,14.35,15.37,,,,,,,,,,,,,10.51,,,,,,,,,,,13.86,,,13.62,12.89,,
487,8.67,4.93,5.37,8.67,2.3599999999999994,19.54,13.14,9.06,4.64,17.02,19.64,14.2,2.3100000000000005,17.5,2.3599999999999994,2.3599999999999994,12.8,1.2899999999999991,11.83,15.27,19.54,19.74,19.79,,14.11,12.07,20.22,12.17,20.03,8.67,13.72,18.33,,19.69,12.65,18.28,,17.36,11.58,13.82,5.32,19.5,,,15.81,19.35,14.74,19.54,18.91,9.5,15.76,16.78,16.490000000000002,19.2,19.74,10.76,,,8.67,5.22,18.18,19.06,7.02,5.56,19.880000000000006,14.64,13.14,18.18,18.18,11.19,,,,,,,,,,,,,7.3599999999999985,,,,,,18.57,,,14.06,,,,,,,,
492,,17.65,16.15,13.33,19.74,16.34,19.98,13.86,,19.93,15.37,19.880000000000006,14.16,15.66,14.16,1.9700000000000009,19.5,11.78,11.39,11.15,19.83,19.79,16.15,,19.79,19.79,19.5,19.64,15.37,15.66,20.130000000000006,15.95,11.0,19.98,19.64,20.08,,19.880000000000006,17.65,12.5,19.16,15.47,19.74,,16.97,20.03,15.51,12.5,19.59,13.33,19.98,19.79,18.91,16.19,15.56,2.75,,,14.06,18.57,19.79,20.130000000000006,19.93,15.17,19.69,19.64,,14.11,19.79,19.98,,,11.68,,,,,,12.26,,,,,,,,,,,,,,,,,,,,,
523,,19.2,19.16,,19.83,18.67,19.35,12.75,,19.69,19.64,19.69,1.2899999999999991,19.74,20.130000000000006,7.41,6.83,16.58,19.3,19.01,20.22,13.48,16.53,,20.03,19.45,20.27,19.880000000000006,18.96,19.11,19.2,16.05,18.91,18.91,15.71,20.08,,19.69,17.8,1.8699999999999992,17.6,19.54,,,19.5,18.86,14.83,19.25,19.2,16.73,18.67,14.45,19.4,19.69,19.11,19.79,,,,,19.35,19.3,20.08,,19.16,18.77,,17.46,19.06,19.11,,,,,,,,19.35,,,,,,,,,,,16.78,,17.84,,,,,,,,,
618,,,,,15.03,17.21,15.9,12.07,,13.96,18.52,18.82,14.11,18.48,16.44,5.76,10.51,15.81,13.38,14.5,17.07,19.69,18.96,,12.94,18.04,16.87,19.64,17.55,18.38,16.58,18.82,19.74,19.98,17.65,19.93,17.94,19.79,14.01,15.32,10.81,20.32,16.05,,14.06,17.84,17.5,19.54,16.05,12.99,17.65,12.94,20.17,16.53,17.5,18.09,,,17.7,8.96,14.4,14.16,18.09,13.77,17.65,19.54,18.09,16.97,20.03,17.65,7.46,,,,,,,,,,,,,,,,15.56,,,,,,,17.84,,,,,,
630,,,,,14.11,18.86,4.01,16.44,,18.86,18.67,14.45,4.45,18.77,16.15,11.1,4.5,16.15,17.12,16.490000000000002,16.63,19.3,18.86,19.2,16.34,14.54,17.259999999999998,18.38,18.86,19.79,16.58,17.21,,19.16,16.73,11.58,,19.64,18.57,5.95,19.69,18.82,,,18.91,19.35,19.45,19.35,18.91,16.53,13.82,18.82,19.5,19.3,16.240000000000002,19.93,,,16.87,,19.59,19.79,19.11,,19.3,16.68,,15.81,19.880000000000006,16.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,,
642,,,,,13.28,20.08,14.69,11.83,18.86,17.41,13.62,19.54,17.55,19.98,18.38,15.47,8.57,20.130000000000006,20.130000000000006,19.93,19.93,20.130000000000006,18.72,16.44,14.88,19.25,20.17,20.17,8.96,20.08,18.62,20.03,20.08,13.72,18.43,19.98,19.83,19.74,15.9,6.34,20.22,20.03,20.17,,19.98,19.2,20.27,13.96,8.52,20.03,19.11,19.25,15.76,19.98,7.939999999999999,20.08,,,19.25,19.59,19.59,14.3,18.43,15.27,12.55,19.35,20.22,20.17,17.12,19.880000000000006,,,,14.83,,,,,,,,,,,,,19.5,,,,,,,,,,,,,
694,,8.28,,4.88,14.01,10.9,13.77,13.09,13.96,14.25,15.71,12.94,1.0999999999999996,4.16,17.75,5.37,12.36,12.31,20.130000000000006,13.72,10.27,10.47,14.5,,9.3,13.23,20.17,13.57,20.130000000000006,14.69,16.58,19.880000000000006,,11.49,15.81,13.91,11.29,19.54,11.87,20.03,4.79,11.44,19.54,,14.25,13.23,13.18,17.5,14.54,19.74,14.54,19.59,17.8,19.83,18.86,14.59,,,13.14,18.48,17.259999999999998,15.66,15.13,16.44,1.3900000000000006,13.48,,15.32,13.04,12.65,,,,,12.94,,,,,,,,17.7,,,17.12,,,,,,17.17,,,,,,,,
832,,,,19.45,20.17,17.36,14.69,20.08,,19.79,20.22,17.6,12.21,19.79,9.4,4.74,15.61,9.98,6.49,6.34,19.06,18.38,,,19.69,19.11,16.78,18.86,18.52,20.17,19.54,20.22,,19.3,20.22,19.79,,19.54,,18.91,19.74,19.79,,,18.28,19.16,,20.130000000000006,19.79,18.52,19.74,19.2,19.79,19.4,20.17,19.01,,,16.34,18.18,19.3,20.22,19.79,18.82,16.53,19.45,,19.79,19.79,,,,,,,,,17.41,,,,,,,,,12.99,,,,,,,,,,16.53,,,
856,,,,,13.38,19.25,16.87,14.59,13.09,17.17,18.77,16.19,10.81,19.45,18.72,15.17,12.02,7.46,17.6,16.19,19.93,16.92,13.62,10.71,6.73,15.81,14.98,17.31,18.48,15.27,7.75,16.83,10.85,16.53,13.72,18.52,12.31,15.37,17.12,16.0,16.19,19.45,12.41,9.54,16.63,17.55,18.23,16.92,18.67,20.03,14.35,13.23,18.86,20.130000000000006,18.48,19.16,,,15.37,17.36,19.93,19.59,14.59,13.62,2.8000000000000007,19.25,10.27,19.93,15.71,13.62,,,12.41,,,,,17.17,,,,,,,13.62,,,,,,,,,,,,,,,
