,0
0,2
1,22
2,9
3,10
4,17
5,27
6,4
7,9
8,17
9,9
10,26
11,13
12,27
13,14
14,0
15,27
16,15
17,14
18,19
19,23
20,16
21,21
22,18
23,0
24,23
25,18
26,2
27,15
28,16
29,7
30,9
31,15
32,0
33,4
34,17
35,26
36,10
37,20
38,20
39,19
40,9
41,10
42,4
43,10
44,0
45,9
46,24
47,25
48,24
49,25
50,2
51,20
52,27
53,2
54,17
55,14
56,7
57,18
58,27
59,25
60,24
61,3
62,3
63,18
64,23
65,13
66,17
67,26
68,7
69,3
70,20
71,24
72,4
73,14
74,12
75,21
76,22
77,24
78,10
79,23
80,19
81,28
82,18
83,2
84,1
85,17
86,23
87,26
88,0
89,0
90,29
91,14
92,2
93,8
94,27
95,16
96,11
97,23
98,10
99,7
100,1
101,22
102,16
103,8
104,6
105,26
106,15
107,0
108,5
109,1
110,14
111,0
112,0
113,27
114,1
115,22
116,5
117,27
118,2
119,22
120,2
121,6
122,20
123,18
124,22
125,24
126,9
127,5
128,18
129,1
130,19
131,10
132,19
133,6
134,1
135,12
136,26
137,6
138,17
139,18
140,15
141,7
142,23
143,17
144,6
145,20
146,0
147,20
148,0
149,3
150,7
151,10
152,17
153,24
154,2
155,2
156,29
157,2
158,19
159,2
160,2
161,0
162,7
163,15
164,2
165,0
166,26
167,2
168,17
169,7
170,26
171,2
172,23
173,20
174,2
175,0
176,17
177,11
178,7
179,24
180,7
181,10
182,23
183,24
184,17
185,7
186,17
187,24
188,0
189,8
190,1
191,19
192,26
193,20
194,23
195,29
196,24
197,19
198,27
199,27
200,4
201,25
202,8
203,7
204,3
205,28
206,7
207,13
208,10
209,17
210,3
211,13
212,27
213,3
214,24
215,9
216,28
217,10
218,12
219,17
220,29
221,23
222,12
223,7
224,2
225,1
226,13
227,13
228,23
229,22
230,23
231,25
232,24
233,12
234,23
235,23
236,8
237,11
238,0
239,24
240,0
241,19
242,10
243,22
244,0
245,26
246,9
247,20
248,22
249,7
250,19
251,27
252,3
253,3
254,12
255,17
256,14
257,17
258,15
259,19
260,20
261,19
262,17
263,27
264,28
265,18
266,17
267,22
268,20
269,18
270,17
271,6
272,18
273,7
274,1
275,25
276,27
277,15
278,27
279,28
280,12
281,12
282,17
283,6
284,3
285,9
286,6
287,7
288,20
289,7
290,10
291,18
292,14
293,6
294,0
295,27
296,12
297,15
298,12
299,6
300,8
301,10
302,17
303,2
304,20
305,21
306,11
307,1
308,2
309,4
310,18
311,4
312,15
313,10
314,8
315,27
316,25
317,26
318,11
319,15
320,9
321,17
322,0
323,0
324,27
325,0
326,4
327,3
328,13
329,9
330,22
331,24
332,7
333,25
334,0
335,10
336,18
337,9
338,0
339,0
340,19
341,4
342,4
343,1
344,17
345,11
346,28
347,8
348,5
349,16
350,23
351,3
352,6
353,20
354,14
355,20
356,2
357,9
358,11
359,20
360,25
361,12
362,14
363,27
364,18
365,7
366,13
367,24
368,13
369,1
370,28
371,22
372,21
373,7
374,1
375,4
376,20
377,3
378,12
379,17
380,10
381,14
382,24
383,1
384,9
385,14
386,29
387,0
388,9
389,22
390,20
391,19
392,28
393,23
394,9
395,18
396,20
397,17
398,6
399,12
400,3
401,7
402,27
403,23
404,1
405,20
406,12
407,11
408,27
409,11
410,3
411,24
412,3
413,26
414,1
415,7
416,11
417,0
418,3
419,10
420,25
421,2
422,3
423,13
424,28
425,29
426,20
427,7
428,6
429,29
430,28
431,17
432,7
433,20
434,7
435,13
436,1
437,17
438,23
439,18
440,10
441,25
442,12
443,24
444,9
445,21
446,1
447,20
448,8
449,15
450,5
451,15
452,7
453,20
454,26
455,19
456,29
457,19
458,16
459,20
460,19
461,4
462,11
463,27
464,28
465,25
466,0
467,9
468,17
469,10
470,3
471,18
472,8
473,27
474,17
475,7
476,8
477,15
478,9
479,28
480,24
481,7
482,15
483,29
484,23
485,27
486,20
487,16
488,28
489,0
490,28
491,6
492,16
493,13
494,23
495,17
496,13
497,19
498,6
499,20
500,25
501,23
502,22
503,24
504,7
505,8
506,0
507,24
508,9
509,11
510,19
511,13
512,20
513,0
514,25
515,21
516,24
517,6
518,12
519,18
520,3
521,6
522,10
523,16
524,6
525,27
526,9
527,5
528,10
529,13
530,1
531,24
532,27
533,9
534,24
535,25
536,24
537,15
538,1
539,7
540,15
541,17
542,8
543,24
544,9
545,14
546,9
547,20
548,7
549,17
550,3
551,9
552,9
553,19
554,9
555,17
556,15
557,0
558,3
559,6
560,7
561,22
562,20
563,12
564,3
565,7
566,21
567,2
568,17
569,9
570,8
571,13
572,22
573,25
574,22
575,3
576,4
577,27
578,2
579,3
580,17
581,24
582,10
583,13
584,20
585,23
586,2
587,19
588,8
589,7
590,17
591,7
592,23
593,20
594,28
595,24
596,13
597,27
598,10
599,10
600,8
601,24
602,9
603,24
604,19
605,7
606,27
607,18
608,3
609,21
610,6
611,11
612,19
613,0
614,20
615,8
616,0
617,6
618,16
619,24
620,29
621,1
622,24
623,4
624,26
625,12
626,22
627,12
628,23
629,0
630,16
631,23
632,21
633,9
634,29
635,7
636,1
637,21
638,14
639,28
640,11
641,15
642,16
643,21
644,10
645,27
646,22
647,21
648,23
649,15
650,27
651,14
652,24
653,1
654,20
655,24
656,9
657,9
658,12
659,7
660,23
661,27
662,21
663,17
664,9
665,26
666,22
667,18
668,26
669,6
670,9
671,15
672,14
673,1
674,9
675,7
676,25
677,10
678,11
679,24
680,25
681,9
682,19
683,25
684,18
685,10
686,25
687,7
688,24
689,26
690,14
691,3
692,6
693,23
694,16
695,1
696,24
697,0
698,24
699,4
700,17
701,27
702,11
703,2
704,25
705,0
706,7
707,27
708,19
709,4
710,21
711,7
712,25
713,13
714,11
715,29
716,5
717,1
718,1
719,9
720,19
721,6
722,28
723,1
724,15
725,20
726,17
727,0
728,0
729,29
730,24
731,13
732,24
733,20
734,3
735,7
736,17
737,1
738,0
739,2
740,27
741,15
742,12
743,25
744,0
745,8
746,17
747,20
748,13
749,29
750,24
751,20
752,6
753,23
754,8
755,27
756,1
757,24
758,18
759,10
760,20
761,13
762,28
763,29
764,9
765,3
766,13
767,22
768,0
769,23
770,27
771,28
772,24
773,19
774,13
775,0
776,27
777,20
778,6
779,0
780,6
781,28
782,11
783,24
784,25
785,7
786,18
787,13
788,7
789,23
790,10
791,0
792,0
793,11
794,17
795,1
796,8
797,23
798,4
799,28
800,29
801,3
802,25
803,17
804,12
805,10
806,12
807,7
808,9
809,12
810,7
811,0
812,1
813,29
814,17
815,7
816,3
817,19
818,25
819,17
820,14
821,7
822,6
823,13
824,13
825,4
826,23
827,12
828,18
829,3
830,14
831,20
832,16
833,7
834,23
835,12
836,11
837,2
838,21
839,1
840,27
841,23
842,14
843,8
844,19
845,20
846,15
847,23
848,27
849,4
850,22
851,8
852,28
853,3
854,7
855,7
856,16
857,7
858,17
859,22
860,24
861,1
862,28
863,15
864,16
865,7
866,17
867,0
868,22
869,3
870,20
871,1
872,15
873,17
874,21
875,13
876,22
877,6
878,7
879,23
880,28
881,2
882,7
883,29
884,7
885,29
886,7
887,9
888,14
889,24
890,21
891,7
892,6
893,7
894,0
895,8
896,22
897,0
898,17
899,1
900,12
901,11
902,13
903,15
904,15
905,10
906,26
907,22
908,0
909,9
910,16
911,1
912,19
913,14
914,2
915,10
916,10
917,7
918,22
919,28
920,24
921,29
922,9
923,2
924,23
925,19
926,21
927,1
928,13
929,4
930,24
931,11
932,1
933,6
934,27
935,24
936,8
937,3
938,4
939,19
940,3
941,19
942,20
943,18
944,22
945,11
946,22
947,11
948,23
949,29
950,7
951,3
952,17
953,12
954,1
955,19
956,1
957,26
958,22
959,29
960,25
961,24
962,17
963,2
964,29
965,27
966,0
967,22
968,9
969,23
970,10
971,7
972,20
973,11
974,5
975,17
976,15
977,17
978,0
979,11
980,22
981,24
982,20
983,16
984,26
985,16
986,28
987,26
988,13
989,5
990,29
991,20
992,20
993,10
994,26
995,24
996,0
997,29
998,22
999,6
1000,25
1001,3
1002,0
1003,17
1004,17
1005,27
1006,26
1007,29
1008,13
1009,21
1010,21
1011,11
1012,1
1013,7
1014,22
1015,10
1016,12
1017,23
1018,25
1019,11
1020,29
1021,29
1022,20
1023,25
1024,13
1025,12
1026,0
1027,0
1028,9
1029,16
1030,23
1031,20
1032,27
1033,22
1034,0
1035,14
1036,16
1037,6
1038,26
1039,1
1040,19
1041,17
1042,18
1043,23
1044,0
1045,12
1046,27
1047,11
1048,6
1049,19
1050,5
1051,26
1052,12
1053,11
1054,13
1055,3
1056,6
1057,27
1058,28
1059,23
1060,20
1061,19
1062,6
1063,16
1064,29
1065,19
1066,2
1067,25
1068,4
1069,20
1070,28
1071,23
1072,18
1073,23
1074,12
1075,27
1076,21
1077,20
1078,5
1079,9
1080,9
1081,20
1082,9
1083,23
1084,29
1085,3
1086,17
1087,26
1088,7
1089,13
1090,22
1091,10
1092,7
1093,19
1094,20
1095,4
1096,18
1097,0
1098,26
1099,18
1100,2
1101,11
1102,12
1103,21
1104,20
1105,27
1106,12
1107,24
1108,4
1109,15
1110,27
1111,0
1112,5
1113,12
1114,19
1115,2
1116,19
1117,16
1118,20
1119,23
1120,10
1121,15
1122,22
1123,5
1124,3
1125,17
1126,17
1127,6
1128,2
1129,1
1130,22
1131,9
1132,5
1133,20
1134,13
1135,17
1136,20
1137,29
1138,26
1139,8
1140,4
1141,5
1142,9
1143,3
1144,10
1145,24
1146,24
1147,19
1148,8
1149,23
1150,10
1151,22
1152,7
1153,25
1154,1
1155,21
1156,2
1157,10
1158,3
1159,9
1160,11
1161,11
1162,0
1163,29
1164,19
1165,20
1166,16
1167,16
1168,12
1169,6
1170,11
1171,0
1172,3
1173,2
1174,2
1175,11
1176,28
1177,6
1178,8
1179,14
1180,24
1181,20
1182,10
1183,20
1184,23
1185,18
1186,20
1187,0
1188,2
1189,8
1190,9
1191,15
1192,19
1193,26
1194,0
1195,20
1196,26
1197,20
1198,23
1199,8
1200,26
1201,28
1202,15
1203,0
1204,0
1205,19
1206,17
1207,20
1208,0
1209,8
1210,17
1211,17
1212,1
1213,1
1214,15
1215,8
1216,7
1217,20
1218,10
1219,18
1220,23
1221,14
1222,19
1223,11
1224,22
1225,3
1226,18
1227,17
1228,16
1229,2
1230,0
1231,23
1232,24
1233,21
1234,7
1235,23
1236,19
1237,21
1238,7
1239,1
1240,18
1241,20
1242,20
1243,10
1244,13
1245,6
1246,25
1247,15
1248,11
1249,25
1250,23
1251,15
