,0
0,1
1,4
2,1
3,1
4,12
5,1
6,1
7,12
8,1
9,3
10,1
11,1
12,4
13,1
14,4
15,5
16,11
17,3
18,4
19,1
20,1
21,4
22,11
23,19
24,1
25,16
26,19
27,19
28,4
29,1
30,19
31,1
32,13
33,12
34,13
35,15
36,1
37,12
38,5
39,1
40,1
41,11
42,1
43,4
44,15
45,17
46,1
47,3
48,4
49,1
50,1
51,4
52,10
53,1
54,1
55,1
56,1
57,9
58,13
59,1
60,1
61,6
62,5
63,1
64,4
65,1
66,19
67,1
68,12
69,5
70,1
71,1
72,4
73,1
74,3
75,1
76,5
77,12
78,1
79,1
80,19
81,4
82,5
83,1
84,1
85,1
86,1
87,19
88,1
89,4
90,1
91,3
92,4
93,1
94,1
95,1
96,13
97,1
98,1
99,1
100,4
101,5
102,4
103,5
104,1
105,1
106,19
107,1
108,1
109,1
110,12
111,1
112,1
113,1
114,1
115,5
116,17
117,4
118,5
119,1
120,11
121,1
122,10
123,1
124,1
125,1
126,4
127,1
128,4
129,4
130,0
131,1
132,12
133,4
134,5
135,0
136,4
137,1
138,11
139,1
140,1
141,1
142,1
143,1
144,1
145,13
146,4
147,3
148,8
149,15
150,0
151,1
152,1
153,1
154,1
155,12
156,15
157,1
158,5
159,1
160,13
161,4
162,16
163,1
164,19
165,0
166,1
167,1
168,9
169,19
170,1
171,1
172,6
173,4
174,0
175,1
176,1
177,19
178,1
179,1
180,9
181,1
182,19
183,1
184,1
185,5
186,8
187,5
188,1
189,19
190,1
191,16
192,13
193,1
194,18
195,1
196,1
197,9
198,16
199,1
200,12
201,10
202,12
203,16
204,19
205,1
206,1
207,19
208,1
209,4
210,1
211,1
212,1
213,1
214,1
215,3
216,1
217,5
218,1
219,19
220,1
221,1
222,14
223,19
224,8
225,1
226,1
227,1
228,12
229,19
230,19
231,1
232,1
233,1
234,6
235,1
236,4
237,13
238,1
239,4
240,1
241,4
242,1
243,1
244,9
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,11
255,4
256,1
257,4
258,19
259,4
260,0
261,11
262,1
263,9
264,19
265,1
266,12
267,16
268,1
269,19
270,3
271,9
272,4
273,5
274,19
275,1
276,1
277,17
278,1
279,1
280,12
281,1
282,1
283,9
284,19
285,1
286,5
287,1
288,1
289,1
290,19
291,1
292,12
293,1
294,5
295,1
296,19
297,1
298,19
299,15
300,16
301,10
302,12
303,1
304,17
305,4
306,13
307,0
308,4
309,12
310,1
311,1
312,1
313,13
314,1
315,11
316,1
317,1
318,8
319,1
320,4
321,1
322,5
323,1
324,1
325,15
326,13
327,1
328,10
329,1
330,8
331,1
332,13
333,1
334,19
335,11
336,11
337,16
338,19
339,19
340,1
341,4
342,3
343,1
344,1
345,15
346,19
347,19
348,4
